code,name,deviceQuota,isHq
CNU-01,간호대학,1,false
CNU-02,경상대학,1,false
CNU-03,공과대학,10,false
CNU-04,공동실험실습관,1,false
CNU-05,교육혁신본부,2,false
CNU-06,국제교류본부,1,false
CNU-07,농업생명과학대학,4,false
CNU-08,도서관,1,false
CNU-09,박물관,1,false
CNU-10,법학전문대학원,1,false
CNU-11,보건진료소,1,false
CNU-12,사범대학,1,false
CNU-13,사회과학대학,2,false
CNU-14,생명시스템과학대학,1,false
CNU-15,생활과학대학,1,false
CNU-16,수의과대학,2,false
CNU-17,안전관리본부,1,true
CNU-18,약학대학,1,false
CNU-19,예술대학,5,false
CNU-20,의과대학,5,false
CNU-21,인문대학,2,false
CNU-22,자연과학대학,6,false
CNU-23,정보화본부,2,false
CNU-24,창업지원단,1,false
CNU-25,체육진흥원,5,false
CNU-26,총무과,3,false
CNU-27,학생과,7,false
CNU-28,학생생활관,14,false
