deptCode,role,name,email,phone
CNU-01,DEPT_MANAGER,,,
CNU-02,DEPT_MANAGER,,,
CNU-03,DEPT_MANAGER,,,
CNU-04,DEPT_MANAGER,,,
CNU-05,DEPT_MANAGER,,,
CNU-06,DEPT_MANAGER,,,
CNU-07,DEPT_MANAGER,,,
CNU-08,DEPT_MANAGER,,,
CNU-09,DEPT_MANAGER,,,
CNU-10,DEPT_MANAGER,,,
CNU-11,DEPT_MANAGER,,,
CNU-12,DEPT_MANAGER,,,
CNU-13,DEPT_MANAGER,,,
CNU-14,DEPT_MANAGER,,,
CNU-15,DEPT_MANAGER,,,
CNU-16,DEPT_MANAGER,,,
CNU-17,HQ_ADMIN,,,
CNU-18,DEPT_MANAGER,,,
CNU-19,DEPT_MANAGER,,,
CNU-20,DEPT_MANAGER,,,
CNU-21,DEPT_MANAGER,,,
CNU-22,DEPT_MANAGER,,,
CNU-23,DEPT_MANAGER,,,
CNU-24,DEPT_MANAGER,,,
CNU-25,DEPT_MANAGER,,,
CNU-26,DEPT_MANAGER,,,
CNU-27,DEPT_MANAGER,,,
CNU-28,DEPT_MANAGER,,,
,SUPER_ADMIN,,,
